Region,Availability Zone,Resource Pool Type,Resource Type,Resource Remaining
cn-north-0,001/002/003/004,default,rds.nodes,2500
cn-north-0,001/002/003/004,default,ecs.cloudservers,3000
cn-north-0,001/002/003/004,default,bms.servers,500
cn-north-0,001/002/003/004,default,vpc.securityGroups,3000
cn-north-0,001/002/003/004,default,vpc.bandwidths,3500
cn-north-0,001/002/003/004,default,cbr.vault,3000
cn-north-0,001/002/003/004,default,vpc.publicips,3500
cn-north-0,001/002/003/004,default,evs.volumes,1500
cn-north-0,001/002/003/004,az001,ecs.cloudservers,3500
cn-north-0,001/002/003/004,az001,rds.nodes,2500
cn-north-0,001/002/003/004,az001,vpc.vpcs,500
cn-north-0,001/002/003/004,az001,rds.instances,500
cn-north-0,001/002/003/004,az001,vpc.securityGroups,3000
cn-north-0,001/002/003/004,az001,bms.servers,2500
cn-north-0,001/002/003/004,az001,evs.volumes,3000
cn-north-0,001/002/003/004,az001,vpc.bandwidths,3000
cn-north-0,001/002/003/004,az002,vpc.securityGroups,1500
cn-north-0,001/002/003/004,az002,vpc.bandwidths,3000
cn-north-0,001/002/003/004,az002,as.scalingGroups,1000
cn-north-0,001/002/003/004,az002,bms.servers,3500
cn-north-0,001/002/003/004,az002,vpc.publicips,500
cn-north-0,001/002/003/004,az002,rds.nodes,500
cn-north-0,001/002/003/004,az002,cbr.vault,1000
cn-north-0,001/002/003/004,az002,ecs.cloudservers,1000
cn-north-0,001/002/003/004,az002,vpc.vpcs,500
cn-north-0,001/002/003/004,az003,as.scalingGroups,3000
cn-north-0,001/002/003/004,az003,rds.nodes,2500
cn-north-0,001/002/003/004,az003,rds.instances,2500
cn-north-0,001/002/003/004,az003,vpc.securityGroups,2500
cn-north-0,001/002/003/004,az003,evs.volumes,1500
cn-north-0,001/002/003/004,az003,vpc.publicips,1500
cn-north-0,001/002/003/004,az003,vpc.vpcs,3500
cn-north-0,001/002/003/004,az003,ecs.cloudservers,500
cn-north-0,001/002/003/004,az003,bms.servers,1000
cn-north-0,001/002/003/004,az003,cbr.vault,500
cn-north-0,001/002/003/004,az004,as.scalingGroups,3000
cn-north-0,001/002/003/004,az004,vpc.securityGroups,1500
cn-north-0,001/002/003/004,az004,vpc.vpcs,2500
cn-north-0,001/002/003/004,az004,evs.volumes,1500
cn-north-0,001/002/003/004,az004,vpc.publicips,1000
cn-north-0,001/002/003/004,az004,rds.nodes,3500
cn-north-0,001/002/003/004,az004,ecs.cloudservers,1000
cn-north-0,001/002/003/004,az004,vpc.bandwidths,2500
cn-north-0,001/002/003/004,az004,cbr.vault,3000
cn-north-1,001/002/003/004/005,default,ecs.cloudservers,3000
cn-north-1,001/002/003/004/005,default,evs.volumes,500
cn-north-1,001/002/003/004/005,default,vpc.bandwidths,1500
cn-north-1,001/002/003/004/005,default,vpc.publicips,500
cn-north-1,001/002/003/004/005,default,as.scalingGroups,3500
cn-north-1,001/002/003/004/005,default,vpc.vpcs,2500
cn-north-1,001/002/003/004/005,default,rds.nodes,1000
cn-north-1,001/002/003/004/005,default,bms.servers,1000
cn-north-1,001/002/003/004/005,default,vpc.securityGroups,1500
