Region,Access Geo-place,Temperature
cn-north-0,Paris,cold
cn-north-0,Shanghai,warm
cn-north-0,Baoding,hot
cn-north-0,Hohhot,hot
cn-north-0,Madrid,cold
cn-north-0,Xiamen,cold
cn-north-0,Zhengzhou,hot
cn-north-0,Fuzhou,cold
cn-north-0,Fuzhou,cold
cn-north-0,Beijing,hot
cn-north-0,Qingdao,hot
cn-north-0,Qingdao,hot
cn-north-0,Wenzhou,warm
cn-north-0,Beijing,hot
cn-north-0,Shenzhen,cold
cn-north-0,Xianggang,cold
cn-north-0,Tianjin,hot
cn-north-0,Ningbo,warm
cn-north-0,Hefei,warm
cn-north-0,Qingdao,hot
cn-north-1,Paris,cold
cn-north-1,Shanghai,warm
cn-north-1,Baoding,hot
cn-north-1,Hohhot,hot
cn-north-1,Madrid,cold
cn-north-1,Xiamen,cold
cn-north-1,Zhengzhou,hot
cn-north-1,Fuzhou,cold
cn-north-1,Fuzhou,cold
cn-north-1,Beijing,hot
cn-north-1,Qingdao,hot
cn-north-1,Qingdao,hot
cn-north-1,Wenzhou,warm
cn-north-1,Beijing,hot
cn-north-1,Shenzhen,cold
cn-north-1,Xianggang,cold
cn-north-1,Tianjin,hot
cn-north-1,Ningbo,warm
cn-north-1,Hefei,warm
cn-north-1,Qingdao,hot
cn-north-2,Paris,cold
cn-north-2,Shanghai,warm
cn-north-2,Baoding,hot
cn-north-2,Hohhot,hot
cn-north-2,Madrid,cold
cn-north-2,Xiamen,cold
cn-north-2,Zhengzhou,hot
cn-north-2,Fuzhou,cold
cn-north-2,Fuzhou,cold
cn-north-2,Beijing,hot
cn-north-2,Qingdao,hot
cn-north-2,Qingdao,hot
cn-north-2,Wenzhou,warm
cn-north-2,Beijing,hot
cn-north-2,Shenzhen,cold
cn-north-2,Xianggang,cold
cn-north-2,Tianjin,hot
cn-north-2,Ningbo,warm
cn-north-2,Hefei,warm
cn-north-2,Qingdao,hot
cn-north-3,Paris,cold
cn-north-3,Shanghai,warm
cn-north-3,Baoding,hot
cn-north-3,Hohhot,hot
cn-north-3,Madrid,cold
cn-north-3,Xiamen,cold
cn-north-3,Zhengzhou,hot
cn-north-3,Fuzhou,cold
cn-north-3,Fuzhou,cold
cn-north-3,Beijing,hot
cn-north-3,Qingdao,hot
cn-north-3,Qingdao,hot
cn-north-3,Wenzhou,warm
cn-north-3,Beijing,hot
cn-north-3,Shenzhen,cold
cn-north-3,Xianggang,cold
cn-north-3,Tianjin,hot
cn-north-3,Ningbo,warm
cn-north-3,Hefei,warm
cn-north-3,Qingdao,hot
cn-north-4,Paris,cold
cn-north-4,Shanghai,warm
cn-north-4,Baoding,hot
cn-north-4,Hohhot,hot
cn-north-4,Madrid,cold
cn-north-4,Xiamen,cold
cn-north-4,Zhengzhou,hot
cn-north-4,Fuzhou,cold
cn-north-4,Fuzhou,cold
cn-north-4,Beijing,hot
cn-north-4,Qingdao,hot
cn-north-4,Qingdao,hot
cn-north-4,Wenzhou,warm
cn-north-4,Beijing,hot
cn-north-4,Shenzhen,cold
cn-north-4,Xianggang,cold
cn-north-4,Tianjin,hot
cn-north-4,Ningbo,warm
cn-north-4,Hefei,warm
cn-north-4,Qingdao,hot
cn-north-5,Paris,cold
cn-north-5,Shanghai,warm
cn-north-5,Baoding,hot
