Region1,Region2,Delay,Bandwidth
cn-north-0,cn-north-1,11,964
cn-north-0,cn-north-2,94,974
cn-north-0,cn-north-3,24,911
cn-north-0,cn-north-4,81,705
cn-north-0,cn-north-5,46,676
cn-north-0,cn-north-6,41,630
cn-north-0,cn-north-7,82,597
cn-north-0,cn-north-8,97,940
cn-north-0,cn-north-9,14,858
cn-north-0,cn-north-10,58,698
cn-north-0,cn-north-11,25,911
cn-north-0,cn-north-12,27,829
cn-north-0,cn-north-13,40,699
cn-north-0,cn-north-14,38,809
cn-north-0,cn-north-15,71,524
cn-north-0,cn-north-16,72,658
cn-north-0,cn-north-17,27,960
cn-north-0,cn-north-18,25,903
cn-north-0,cn-north-19,32,996
cn-north-0,cn-north-20,95,982
cn-north-0,cn-north-21,60,876
cn-north-0,cn-north-22,71,928
cn-north-0,cn-north-23,84,698
cn-north-0,cn-north-24,12,764
cn-north-0,cn-north-25,34,967
cn-north-0,cn-north-26,45,854
cn-north-0,cn-north-27,95,931
cn-north-0,cn-north-28,88,632
cn-north-0,cn-north-29,15,848
cn-north-0,cn-north-30,74,962
cn-north-0,cn-north-31,66,586
cn-north-0,cn-north-32,13,857
cn-north-0,cn-north-33,82,573
cn-north-0,cn-north-34,91,685
cn-north-0,cn-north-35,22,570
cn-north-0,cn-north-36,19,878
cn-north-0,cn-north-37,46,621
cn-north-0,cn-north-38,82,828
cn-north-0,cn-north-39,24,618
cn-north-0,cn-north-40,97,992
cn-north-0,cn-north-41,72,912
cn-north-0,cn-north-42,88,953
cn-north-0,cn-north-43,97,962
cn-north-0,cn-north-44,87,551
cn-north-0,cn-north-45,81,569
cn-north-0,cn-north-46,44,818
cn-north-0,cn-north-47,85,839
cn-north-0,cn-north-48,36,902
cn-north-0,cn-north-49,26,588
cn-north-0,cn-north-50,100,764
cn-north-0,cn-north-51,54,650
cn-north-0,cn-north-52,40,981
cn-north-0,cn-north-53,72,557
cn-north-0,cn-north-54,73,855
cn-north-0,cn-north-55,24,509
