Region,Availability Zone,Resource Type,Total Remaining
cn-north-0,001/002/003/004,rds.instances,3000
cn-north-0,001/002/003/004,as.scalingGroups,7000
cn-north-0,001/002/003/004,vpc.bandwidths,8500
cn-north-0,001/002/003/004,evs.volumes,6000
cn-north-0,001/002/003/004,cbr.vault,4500
cn-north-0,001/002/003/004,vpc.vpcs,7000
cn-north-0,001/002/003/004,vpc.publicips,3000
cn-north-0,001/002/003/004,vpc.securityGroups,8500
cn-north-0,001/002/003/004,rds.nodes,9000
cn-north-0,001/002/003/004,bms.servers,7000
cn-north-0,001/002/003/004,ecs.cloudservers,6000
cn-north-1,001/002/003/004/005,rds.instances,4000
cn-north-1,001/002/003/004/005,as.scalingGroups,4500
cn-north-1,001/002/003/004/005,vpc.bandwidths,2000
cn-north-1,001/002/003/004/005,evs.volumes,500
cn-north-1,001/002/003/004/005,cbr.vault,5000
cn-north-1,001/002/003/004/005,ecs.cloudservers,10000
cn-north-1,001/002/003/004/005,vpc.publicips,7500
cn-north-1,001/002/003/004/005,vpc.securityGroups,3500
cn-north-1,001/002/003/004/005,rds.nodes,3000
cn-north-1,001/002/003/004/005,bms.servers,2500
cn-north-1,001/002/003/004/005,vpc.vpcs,7000
cn-north-2,001/002/003/004,as.scalingGroups,3000
cn-north-2,001/002/003/004,rds.instances,6000
cn-north-2,001/002/003/004,vpc.bandwidths,8000
cn-north-2,001/002/003/004,evs.volumes,3500
cn-north-2,001/002/003/004,cbr.vault,1000
cn-north-2,001/002/003/004,vpc.vpcs,8500
cn-north-2,001/002/003/004,vpc.publicips,6500
cn-north-2,001/002/003/004,vpc.securityGroups,7500
cn-north-2,001/002/003/004,rds.nodes,6000
cn-north-2,001/002/003/004,bms.servers,1500
cn-north-2,001/002/003/004,ecs.cloudservers,3000
cn-north-3,001/002,as.scalingGroups,1500
cn-north-3,001/002,rds.instances,500
cn-north-3,001/002,vpc.bandwidths,1500
cn-north-3,001/002,evs.volumes,2000
cn-north-3,001/002,cbr.vault,500
cn-north-3,001/002,vpc.publicips,6500
cn-north-3,001/002,vpc.securityGroups,3000
cn-north-3,001/002,bms.servers,4000
cn-north-3,001/002,vpc.vpcs,3000
cn-north-4,001/002,as.scalingGroups,1500
cn-north-4,001/002,rds.instances,1500
cn-north-4,001/002,evs.volumes,3000
cn-north-4,001/002,cbr.vault,4000
cn-north-4,001/002,vpc.vpcs,6000
cn-north-4,001/002,vpc.publicips,4500
cn-north-4,001/002,vpc.securityGroups,1500
cn-north-4,001/002,rds.nodes,6000
cn-north-4,001/002,bms.servers,2500
cn-north-4,001/002,ecs.cloudservers,3000
cn-north-5,001/002/003,rds.instances,3000
cn-north-5,001/002/003,as.scalingGroups,2500
cn-north-5,001/002/003,vpc.bandwidths,6000
cn-north-5,001/002/003,evs.volumes,3500
cn-north-5,001/002/003,cbr.vault,3500
cn-north-5,001/002/003,ecs.cloudservers,5000
cn-north-5,001/002/003,vpc.publicips,2500
cn-north-5,001/002/003,vpc.securityGroups,6000
cn-north-5,001/002/003,rds.nodes,4000
cn-north-5,001/002/003,bms.servers,2500
cn-north-5,001/002/003,vpc.vpcs,3500
cn-north-6,001/002/003,as.scalingGroups,5500
cn-north-6,001/002/003,rds.instances,1500
cn-north-6,001/002/003,vpc.bandwidths,3500
cn-north-6,001/002/003,evs.volumes,7500
cn-north-6,001/002/003,cbr.vault,6000
cn-north-6,001/002/003,vpc.vpcs,7500
cn-north-6,001/002/003,vpc.publicips,8000
cn-north-6,001/002/003,vpc.securityGroups,4000
cn-north-6,001/002/003,rds.nodes,3500
cn-north-6,001/002/003,bms.servers,5500
cn-north-6,001/002/003,ecs.cloudservers,4000
cn-north-7,001/002/003,as.scalingGroups,3000
cn-north-7,001/002/003,rds.instances,1500
cn-north-7,001/002/003,vpc.bandwidths,3000
cn-north-7,001/002/003,evs.volumes,5500
cn-north-7,001/002/003,cbr.vault,4500
cn-north-7,001/002/003,ecs.cloudservers,3000
cn-north-7,001/002/003,vpc.publicips,3000
cn-north-7,001/002/003,vpc.securityGroups,7000
cn-north-7,001/002/003,rds.nodes,1000
cn-north-7,001/002/003,bms.servers,7500
cn-north-7,001/002/003,vpc.vpcs,6500
cn-north-8,001/002,rds.instances,3500
cn-north-8,001/002,as.scalingGroups,1000
cn-north-8,001/002,vpc.bandwidths,2000
cn-north-8,001/002,evs.volumes,4000
cn-north-8,001/002,cbr.vault,3500
cn-north-8,001/002,vpc.vpcs,1500
cn-north-8,001/002,vpc.publicips,1000
